player_id,player_name,match_id,match_name,club,Minutes,total_distance,high_intensity_distance,sprint_distance,hi_runs,sprint_runs,position,division
2055,Yannis M'Bemba,20250808,FC Dordrecht vs SC Cambuur,FC Dordrecht,9.443333333333333,1388.17,124.59,42.69,2.0,1.0,CB,KKD
436,Joshua Pynadath,20250808,FC Dordrecht vs SC Cambuur,FC Dordrecht,18.11825046302892,2543.44,451.80999999999995,191.91,11.0,5.0,LW,KKD
1462,Gerrit Nauber,20250808,Fortuna Sittard vs Go Ahead Eagles,Go Ahead Eagles,100.89956377233071,9714.61,252.03000000000003,86.76,8.0,2.0,CB,Eredivisie
1464,Mats Deijl,20250808,Fortuna Sittard vs Go Ahead Eagles,Go Ahead Eagles,100.90323955669226,11835.95,1081.3899999999999,380.78,22.0,15.0,RB,Eredivisie
1685,Milan Smit,20250808,Fortuna Sittard vs Go Ahead Eagles,Go Ahead Eagles,100.8996776792909,12521.65,1260.7,389.26,45.0,13.0,CF,Eredivisie
1745,Julius Dirksen,20250808,Fortuna Sittard vs Go Ahead Eagles,Go Ahead Eagles,30.659321332505694,2963.53,121.44,39.18,3.0,1.0,CB,Eredivisie
1809,Dean James,20250808,Fortuna Sittard vs Go Ahead Eagles,Go Ahead Eagles,100.89720642355303,12063.27,830.42,159.74,27.0,11.0,LB,Eredivisie
1878,Calvin Twigt,20250808,Fortuna Sittard vs Go Ahead Eagles,Go Ahead Eagles,55.38485316846986,7525.14,529.0,51.7,27.0,3.0,DM,Eredivisie
1987,Richonell Margaret,20250808,Fortuna Sittard vs Go Ahead Eagles,Go Ahead Eagles,46.499577540517706,6053.78,678.49,149.03,24.0,8.0,RW,Eredivisie
2029,Victor Edvardsen,20250808,Fortuna Sittard vs Go Ahead Eagles,Go Ahead Eagles,70.40800197579648,8552.46,1003.73,360.37,30.0,11.0,CF,Eredivisie
2211,Mathis Suray,20250808,Fortuna Sittard vs Go Ahead Eagles,Go Ahead Eagles,57.92073068543657,6912.26,809.7,201.32,31.0,8.0,LW,Eredivisie
